SUB_ID,X,Subject,GENOTYPE_GROUP,SEX_GROUP,AGE_GROUP,AGE_MONTHS,DIET_GROUP,HN_GROUP,Weight,Animal_ID,DWI_ID,Winding_Number,Island_Entry,Distance_Total,Norm_SW_Distance,Winding_Number_Norm,Island_Entry_Norm,Distance_Total_Norm,Norm_SW_Distance_Norm,Weight_Norm
58,58,58,3,1,1,13.5,1,2,31.8,201026_3,N58712,19.9403067571357,5,13.295,0.425648740127868,1.55941038035151,1.67670889294701,1.66223925940475,1.49514368120958,1.68436797778609
59,59,59,3,1,2,20.53,1,2,28,201026_4,N58714,21.9330868018999,1,10.666,0.194730920682543,1.66362418837076,1.34873718763736,1.41673334880138,1.22771308412651,1.68436797778609
60,60,60,3,1,1,13.57,2,2,36.4,201012_1,N58732,21.9816098257727,5,7.874,0.585725171450343,1.66616173339871,1.67670889294701,1.15600588497308,1.68053143391886,1.68436797778609
61,61,61,3,1,1,13.57,2,2,35.4,201012_2,N58733,18.5702623018375,4,9.692,0.481427981840693,1.48776295984596,1.5947159666196,1.32577756450025,1.5597427491894,1.68436797778609
62,62,62,3,1,1,13.37,2,2,46.8,201012_3,N58734,21.0974808002573,3,8.304,0.484224470134875,1.61992559571187,1.51272304029218,1.19616090268303,1.56298141884272,1.68436797778609
63,63,63,3,2,1,14.23,2,2,41.2,201012_8,N58735,17.6357220002799,2,10.083,0.459982148170187,1.43889052968054,1.43073011396477,1.36229061548767,1.53490589546705,1.68436797778609
64,64,64,3,2,1,14.23,2,2,34.5,201012_10,N58740,16.9006132378824,1,10.886,0.452967113724049,1.40044750951931,1.34873718763736,1.43727777646694,1.52678164219377,1.68436797778609
65,65,65,2,2,1,15.4,2,2,44.1,201012_11,N58742,23.4672966246796,6,8.744,0.730786825251601,1.74385675008899,1.75870181927442,1.23724975801413,1.84853026910236,1.68436797778609
66,66,66,2,2,1,14.77,2,2,36.6,201012_12,N58745,22.6122215098471,6,8.636,0.738883742473367,1.69914000671668,1.75870181927442,1.22716431170559,1.85790747269951,1.68436797778609
67,67,67,2,1,1,12.4,2,2,31.4,201012_13,N58747,18.1859042510583,8,10.139,0.674228227635862,1.46766269026538,1.92268767192925,1.36752010616617,1.78302861328866,1.68436797778609
68,68,68,2,2,1,14.03,2,1,42.5,201012_15,N58749,22.6580787429152,4,8.475,0.757522123893805,1.70153814237435,1.5947159666196,1.21212952600489,1.87949295918948,1.35020101804881
69,69,69,2,2,1,14.03,2,1,41.2,201012_16,N58751,19.1599139447091,5,10.87,0.647194112235511,1.51859919953529,1.67670889294701,1.43578363627308,1.75171985747027,1.35020101804881
70,70,70,3,2,1,14.67,2,2,38.8,201012_4,N58779,17.2508133977898,3,10.381,0.543396589923899,1.41876146861821,1.51272304029218,1.39011897659828,1.63150984754459,1.68436797778609
71,71,71,3,2,1,14.67,2,2,39.8,201012_5,N58780,18.9612779242472,5,8.792,0.546064604185623,1.50821139173055,1.67670889294701,1.24173217859571,1.6345997288225,1.68436797778609
72,72,72,3,2,1,14.67,2,2,39.7,201012_6,N58784,22.8452082867014,5,9.432,0.629983036471586,1.71132421103863,1.67670889294701,1.30149778635005,1.7317873625288,1.68436797778609
73,73,73,3,2,1,14.67,2,2,32.8,201012_7,N58788,18.6276260994534,5,10.166,0.601711587645091,1.49076283923942,1.67670889294701,1.37004146774331,1.69904562584415,1.68436797778609
74,74,74,3,2,1,14.7,2,2,31.9,201012_9,N58790,19.3443933553021,0,10.299,0.354694630546655,1.52824667765489,1.26674426130995,1.38246150810475,1.41297029183503,1.68436797778609
75,75,75,2,2,1,14.47,2,1,41.3,201012_17,N58792,15.7491186647506,6,12.234,0.64835703776361,1.3402293059625,1.75870181927442,1.56315908779951,1.75306666504488,1.35020101804881
76,76,76,2,2,1,14.47,2,1,44.3,201012_18,N58794,17.5360964501456,1,11.747,0.372009874861667,1.43368054276664,1.34873718763736,1.51768119564895,1.43302342648235,1.35020101804881
77,77,77,2,2,1,14.43,2,1,46.9,201012_20,N58813,14.22169968213,5,11.178,0.417695473251029,1.26035187591797,1.67670889294701,1.46454583500485,1.48593284198226,1.35020101804881
78,78,78,2,2,1,14.47,2,1,33.8,201012_21,N58815,17.9303663320245,6,11.473,0.628867776518783,1.45429915839652,1.75870181927442,1.49209404482912,1.73049575742099,1.35020101804881
79,79,79,2,1,1,14.47,2,1,42,201012_23,N58819,22.1933963769434,2,8.465,0.679267572356763,1.67723725728443,1.43073011396477,1.21119568838373,1.78886478033222,1.35020101804881
80,80,80,2,1,1,14.47,2,1,46,201012_22,N58821,18.1669813250101,5,11.149,0.448919185577182,1.46667310278555,1.67670889294701,1.46183770590349,1.5220936547363,1.35020101804881
81,81,81,2,2,1,14.43,2,1,40.3,201012_19,N58829,17.2707354029571,6,11.756,0.570432119768629,1.41980330363021,1.75870181927442,1.51852164950799,1.66282024145962,1.35020101804881
82,82,82,2,1,1,14.5,2,1,43.8,201012_24,N58831,17.8194941655181,3,9.887,0.549711742692424,1.44850102191612,1.51272304029218,1.3439873981129,1.63882355369172,1.35020101804881
83,83,83,2,1,1,14.5,2,1,43.9,201012_25,N58851,24.0653510355103,4,7.422,0.518997574777688,1.77513241832901,1.5947159666196,1.11379642449658,1.60325285462623,1.35020101804881
84,84,84,2,1,1,14.5,2,1,54,201012_26,N58853,21.5179612328025,5,9.83,0.703255340793489,1.64191491018149,1.67670889294701,1.33866452367228,1.81664550011874,1.35020101804881
85,85,85,2,1,1,14.5,2,1,43.1,201012_27,N58855,18.083541800424,5,10.051,0.374291115311909,1.4623095752506,1.67670889294701,1.35930233509995,1.43566537718656,1.35020101804881
86,86,86,2,2,1,15,1,1,28.9,210222_10,N58857,18.886695858773,4,11.205,0.512360553324409,1.50431107113399,1.5947159666196,1.46706719658199,1.5955663858454,1.35020101804881
87,87,87,2,2,1,15,1,1,28.1,210222_11,N58859,17.5534499103421,2,12.929,0.534766803310388,1.43458805394638,1.43073011396477,1.62806080247024,1.62151551712741,1.35020101804881
88,88,88,2,2,1,15.03,1,1,26.8,210222_12,N58861,21.3047675389727,4,10.709,0.54132038472313,1.6307657987991,1.5947159666196,1.42074885057238,1.6291053523097,1.35020101804881
89,89,89,1,1,1,14.33,1,2,27,210201_19,N58877,17.265565966787,2,10.096,0.430368462757528,1.41953296439733,1.43073011396477,1.36350460439518,1.50060968744482,1.68436797778609
90,90,90,3,1,1,14.77,1,1,31.2,210201_15,N58879,17.5661862216516,1,9.11,0.441931942919868,1.43525410813794,1.34873718763736,1.27142821494865,1.51400158769574,1.35020101804881
